Team Name,Record,Pts,Pts/game
 
Tampa Bay,52-20-7,111,1.41
Boston,39-19-9,87,1.3
Montreal,37-29-12,86,1.1
Toronto,38-16-9,85,1.35
Florida,39-18-5,83,1.34
Ottawa,23-28-5,51,0.91
Detroit,19-27-10,48,0.86
Buffalo,15-34-7,37,0.66
 
NY Islanders,43-24-8,94,1.25
Carolina,41-16-10,92,1.37
Pittsburgh,39-18-5,83,1.34
Washington,37-17-7,81,1.33
NY Rangers,27-23-6,60,1.07
Philadelphia,25-23-8,58,1.04
Columbus,18-26-12,48,0.86
New Jersey,19-30-7,45,0.8
 
Colorado,45-16-5,95,1.44
Minnesota,38-20-5,81,1.29
Winnipeg,34-26-4,72,1.12
Nashville,33-25-4,70,1.13
St. Louis,27-24-9,63,1.05
Dallas,23-19-14,60,1.07
Chicago,24-25-7,55,0.98
Arizona,24-26-6,54,0.96
 
Vegas,50-19-6,106,1.41
Edmonton,35-20-5,75,1.25
Calgary,26-27-3,55,0.98
Vancouver,23-29-4,50,0.89
Los Angeles,21-28-7,49,0.88
San Jose,21-28-7,49,0.88
Anaheim,17-30-9,43,0.77
